subjectid,gender,birthdate,genotype,cagenumber,health,cagemates,experimenter,tasktypedone,notes,intensityofcost1,intensityofcost2,intensityofcost3,intensityofcost4,costprobability1,costprobability2,costprobability3,costprobability4,rewardconcentration1,rewardconcentration2,rewardconcentration3,rewardconcentration4,rewardvolume1,rewardvolume2,rewardvolume3,rewardvolume4,rewardprobability1,rewardprobability2,rewardprobability3,rewardprobability4,mazenumber,approachavoidtimestamp,approachavoid,playstarttrialtone,presentcost,lightlevel,referencetime,videostartime,feeder,stoptrack,trialname,detectionsettings,trialcontrolsettings,referenceduration,animalid,mazeofferdelivery,mazenoofferdelivery,starttime,recordingafter,recordingduration,trialduration,mazecostoff,coordinatetimes,xcoordinates,ycoordinates,presentcostend,costpresenetationfinish,stopincopixrecording,decisionmakingtime,startincopixrecording,date,activezonetimestamp,activezonevalue,presentcostontimestamp,costacknowledgementtimestamp,deliveryacknowledgementtimestamp,coordinatetimes2,xcoordinates2,ycoordinates2,xtail,ytail,xnose,ynose,direction,truextail,trueytail,truexnose,trueynose,truedirection,id
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 15:12:13.4,03/03/2022 15:12:13.3,.,36.1,Trial     6,v.1 Detection Settings,P3 L1 Opposite,0:00:43.2,Raven,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 15:12:13.4,0:00:07.0,0:00:36.2,0:00:43.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,8.1,,,,,,,,,,,,,,136313
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:55:15.5,03/03/2022 10:55:15.4,2,24.8,Trial    29,v.1 Detection Settings,P3 L2 Opposite,0:00:31.9,none,12.2,12.2,03/03/2022 10:55:15.5,0:00:07.0,0:00:24.9,0:00:31.9,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136066
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:58:42.1,03/03/2022 10:58:42.0,4,20.2,Trial    33,v.1 Detection Settings,P3 L1 Opposite,0:00:27.3,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:58:42.1,0:00:07.0,0:00:20.3,0:00:27.3,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,24.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136083
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:29:52.9,03/03/2022 10:29:52.8,2,25.4,Trial     1,v.1 Detection Settings,P3 L3 Opposite,0:00:32.5,none,12.2,12.2,03/03/2022 10:29:52.9,0:00:07.0,0:00:25.5,0:00:32.5,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,135954
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:29:52.9,03/03/2022 10:29:52.8,3,25.4,Trial     1,v.1 Detection Settings,P3 L3 Opposite,0:00:32.5,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:29:52.9,0:00:07.0,0:00:25.5,0:00:32.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,23.000000,5.6,5.6,12.2,,,,,,,,,,,,,,135955
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,15,1.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:29:52.9,03/03/2022 10:29:52.8,4,25.4,Trial     1,v.1 Detection Settings,P3 L3 Opposite,0:00:32.5,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:29:52.9,0:00:07.0,0:00:25.5,0:00:32.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,7.5,34.000000,7.5,8.4,16.9,,,,,,,,,,,,,,135956
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:29:52.9,03/03/2022 10:29:52.8,1,25.4,Trial     1,v.1 Detection Settings,P3 L3 Opposite,0:00:32.5,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:29:52.9,0:00:07.0,0:00:25.5,0:00:32.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,41.000000,NOT FOUND IN NODULUS,5.6,10.7,,,,,,,,,,,,,,135957
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:30:46.4,03/03/2022 10:30:46.3,2,23.9,Trial     2,v.1 Detection Settings,P3 L3 Opposite,0:00:31.0,none,12.2,12.2,03/03/2022 10:30:46.4,0:00:07.0,0:00:24.0,0:00:31.0,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,135958
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,12.2,1.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:30:46.4,03/03/2022 10:30:46.3,3,23.9,Trial     2,v.1 Detection Settings,P3 L3 Opposite,0:00:31.0,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:30:46.4,0:00:07.0,0:00:24.0,0:00:31.0,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,23.000000,5.6,5.6,12.2,,,,,,,,,,,,,,135959
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,13.5,1.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:30:46.4,03/03/2022 10:30:46.3,4,23.9,Trial     2,v.1 Detection Settings,P3 L3 Opposite,0:00:31.0,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:30:46.4,0:00:07.0,0:00:24.0,0:00:31.0,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,6.3,34.000000,6.3,6.9,15.4,,,,,,,,,,,,,,135960
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:30:46.4,03/03/2022 10:30:46.3,.,23.9,Trial     2,v.1 Detection Settings,P3 L3 Opposite,0:00:31.0,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:30:46.4,0:00:07.0,0:00:24.0,0:00:31.0,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,8.5,,,,,,,,,,,,,,135961
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,12.2,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:31:38.6,03/03/2022 10:31:38.5,4,23.7,Trial     3,v.1 Detection Settings,P3 L1,0:00:30.8,none,12.2,12.2,03/03/2022 10:31:38.6,0:00:07.0,0:00:23.8,0:00:30.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,14.000000,5.6,5.6,12.2,,,,,,,,,,,,,,135962
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,13.4,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:31:38.6,03/03/2022 10:31:38.5,3,23.7,Trial     3,v.1 Detection Settings,P3 L1,0:00:30.8,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:31:38.6,0:00:07.0,0:00:23.8,0:00:30.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,6.8,23.000000,6.8,6.8,13.4,,,,,,,,,,,,,,135963
