subjectid,gender,birthdate,genotype,cagenumber,health,cagemates,experimenter,tasktypedone,notes,intensityofcost1,intensityofcost2,intensityofcost3,intensityofcost4,costprobability1,costprobability2,costprobability3,costprobability4,rewardconcentration1,rewardconcentration2,rewardconcentration3,rewardconcentration4,rewardvolume1,rewardvolume2,rewardvolume3,rewardvolume4,rewardprobability1,rewardprobability2,rewardprobability3,rewardprobability4,mazenumber,approachavoidtimestamp,approachavoid,playstarttrialtone,presentcost,lightlevel,referencetime,videostartime,feeder,stoptrack,trialname,detectionsettings,trialcontrolsettings,referenceduration,animalid,mazeofferdelivery,mazenoofferdelivery,starttime,recordingafter,recordingduration,trialduration,mazecostoff,coordinatetimes,xcoordinates,ycoordinates,presentcostend,costpresenetationfinish,stopincopixrecording,decisionmakingtime,startincopixrecording,date,activezonetimestamp,activezonevalue,presentcostontimestamp,costacknowledgementtimestamp,deliveryacknowledgementtimestamp,coordinatetimes2,xcoordinates2,ycoordinates2,xtail,ytail,xnose,ynose,direction,truextail,trueytail,truexnose,trueynose,truedirection,id
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:13:17.0,01/05/2022 15:13:17.0,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Fake Rat,13.1,11.1,01/05/2022 15:13:17.0,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53066
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:13:17.0,01/05/2022 15:13:17.0,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Fake Rat og,13.1,11.1,01/05/2022 15:13:17.0,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53067
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:13:17.0,01/05/2022 15:13:17.0,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Scar,13.1,11.1,01/05/2022 15:13:17.0,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53068
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:13:17.0,01/05/2022 15:13:17.0,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Simba,13.1,11.1,01/05/2022 15:13:17.0,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53069
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:14:05.5,01/05/2022 15:14:05.4,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Fake Rat,10.3,13.1,01/05/2022 15:14:05.5,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53070
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,11.1,1.000000,2,3,1,01/05/2022 15:14:05.5,01/05/2022 15:14:05.4,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Fake Rat og,11.1,13.1,01/05/2022 15:14:05.5,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53071
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:14:05.5,01/05/2022 15:14:05.4,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Scar,13.1,11.1,01/05/2022 15:14:05.5,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53072
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,11.1,1.000000,2,3,1,01/05/2022 15:14:05.5,01/05/2022 15:14:05.4,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Simba,11.1,13.1,01/05/2022 15:14:05.5,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53073
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:14:53.9,01/05/2022 15:14:53.9,2,20.7,Trial     3,v.1 Detection Settings,P2 Grid L2,0:00:27.8,Fake Rat,10.3,13.7,01/05/2022 15:14:53.9,0:00:07.0,0:00:20.8,0:00:27.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53074
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,11.1,1.000000,2,3,1,01/05/2022 15:14:53.9,01/05/2022 15:14:53.9,2,20.7,Trial     3,v.1 Detection Settings,P2 Grid L2,0:00:27.8,Fake Rat og,11.1,13.7,01/05/2022 15:14:53.9,0:00:07.0,0:00:20.8,0:00:27.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53075
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,11.7,1.000000,2,3,1,01/05/2022 15:14:53.9,01/05/2022 15:14:53.9,2,20.7,Trial     3,v.1 Detection Settings,P2 Grid L2,0:00:27.8,Scar,11.7,13.7,01/05/2022 15:14:53.9,0:00:07.0,0:00:20.8,0:00:27.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53076
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,11.1,1.000000,2,3,1,01/05/2022 15:14:53.9,01/05/2022 15:14:53.9,2,20.7,Trial     3,v.1 Detection Settings,P2 Grid L2,0:00:27.8,Simba,11.1,13.7,01/05/2022 15:14:53.9,0:00:07.0,0:00:20.8,0:00:27.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53077
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:15:43.1,01/05/2022 15:15:43.1,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Fake Rat,10.3,13.1,01/05/2022 15:15:43.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53078
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:15:43.1,01/05/2022 15:15:43.1,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Fake Rat og,13.1,11.1,01/05/2022 15:15:43.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53079
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,11.1,1.000000,2,3,1,01/05/2022 15:15:43.1,01/05/2022 15:15:43.1,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Scar,11.1,13.1,01/05/2022 15:15:43.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53080
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,11.1,1.000000,2,3,1,01/05/2022 15:15:43.1,01/05/2022 15:15:43.1,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Simba,11.1,13.1,01/05/2022 15:15:43.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53081
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:16:31.8,01/05/2022 15:16:31.7,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Fake Rat,10.3,13.1,01/05/2022 15:16:31.8,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53082
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:16:31.8,01/05/2022 15:16:31.7,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Fake Rat og,13.1,11.1,01/05/2022 15:16:31.8,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53083
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,11.1,1.000000,2,3,1,01/05/2022 15:16:31.8,01/05/2022 15:16:31.7,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Scar,11.1,13.1,01/05/2022 15:16:31.8,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53084
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,11.1,1.000000,2,3,1,01/05/2022 15:16:31.8,01/05/2022 15:16:31.7,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Simba,11.1,13.1,01/05/2022 15:16:31.8,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53085
